id,value
1,Lillian Andersson
2,Anders Griph
3,Per Hultin
4,Samuel Nikolausson
5,Aleholm
6,Fredrik Håkansson
7,KD
8,röda rosor
9,rosor
10,dagens ros
11,bukett
12,blommor
13,påskliljor
14,blomma
15,tulpan
16,tulpaner
17,julstjärna
18,julblomma
19,julros
20,höst
21,höstbukett
22,ros
23,rosa rosor
24,rosa
25,rosa ros
26,röd ros
27,sortergården
28,vrigstad
29,återvinning
30,featurebild
31,jogga
32,springa
33,skog
34,motionsspår
35,elljusspår
36,gatlampa
37,belysning
38,dagtid
39,kommunen
40,gata/park
41,gatubelysning
42,spherobollar
43,sphero
44,teknik
45,klot
46,allaktivitetshus
47,programmering
48,äpple
49,tunneltorget
50,konst
51,bilder
52,utställning
53,sävsjös historia
54,spontanidrottsplats
55,idrottsplats
56,fotboll
57,tällevad
58,hockeyskola
59,hockey
60,hockeycamp
61,HA74
62,annika svensson
63,beå svensson
64,peter hultin
65,träindustri
66,träindustriutbildningen
67,Soffopera
68,opera
69,eksjöhovgårds värdshus
70,miniopera
71,sadel
72,sadlar
73,stöld
74,vrigstadån
75,parkour
76,fallfrukt
77,äpplen
78,hägneskolan
79,nya lokaler
80,invigning
81,sockerklaras lekpark
82,lekpark
83,sockerklaras
84,lekplats
85,mejensjökrysset
86,mejensjö
87,vägar
88,gator
89,fotbollsskola
90,VIF
91,Vrigstad IF
92,Vrigstad
93,sport
94,Kristin Nilsdotter Isaksson
95,utvecklingschef
96,sävsjö kommun
97,Mikael Jonsson
98,SävsjöSläpet
99,Altan
100,veranda
101,parasoll
102,bro
103,hultrum
104,järnvägsbro
105,järnväg
106,trafikverket
107,vårdcentralen
108,vårdcentral
109,apotek
110,apotek hjärtat
111,Kerstin Hvirf
112,S
113,Socialdemokraterna
114,michael svensson
115,rörvikshus
116,sebastian stakset
117,det finns hopp
118,2019
119,skräpplockning
120,socialdemokraterna
121,politiker
122,riddare
123,höglandsriddarna
124,medeltidsdagar
125,medeltid
126,tournerspel
127,Lars-Göran Andersson
128,räddningsledare
129,räddningstjänsten
130,hängmatta
131,therese rostedt
132,Öppen trädgård
133,Therese Rostedt
134,Claes Rostedt
135,Tomas Mattsson
136,Monica Mattsson
137,Källäng
138,Forssa kvarn
139,Per Malmqvist
140,Andreas Runeborn
141,Begravningstjänst
142,begravningsbyrå
143,brygga
144,trasig brygga
145,slättsjön
146,Smålandsvillan
147,Anders Holmberg
148,Mikael Petersson
149,Linus Englund
150,fotografier
151,Bengt-Elis Petersson
152,Kräftmuseet
153,kräftor
154,Sikanäs
155,Tomte
156,100 skäl
157,Logo
158,Sol
159,Kväll
160,blå
161,rosablå
162,påsk
163,vår
164,jul
165,röd
166,vit
167,syrener
168,lila
169,lastbil
170,olycka
171,snö
172,vinterväglag
173,väg 128
174,Mia Skäringer
175,DanPyBark
176,No more fucks to give
177,Dan Hylander
178,Py Bäckman
179,Janne Bark
180,Anna-Lena Hemström
181,Ester Blenda Nordström
182,Niclas Eriksson
183,Startist
184,Sävsjö Kulturhus
185,Kulturhuset
186,Anna-Karin Rostedt
187,Gamla Bankgården
188,Kakelugn
189,Brand
190,SOS
191,Räddningstjänsten
192,Vasaloppsspinning
193,Familjebadet
194,Spinning
195,spinning
196,Vasalopps
197,Familje
198,Stockaryd
199,Samhällsförening
200,Vasaloppet
201,IFK Stockaryd
202,skidåkare
203,Pierre Klasson
204,Kommunikationschef
205,Sävsjö kommun
206,Willefonden
207,Tunneltorget
208,Tavlor
209,Skadegörelse
210,Medborgarlöfte
211,Anders Sjöö
212,Jonas Lindell
213,Stefan Gustafsson
214,Jan Holmqvist
215,Rebecca Thalin
216,Ann-Margret Floengård
217,Vårdcentralen Sävsjö
218,Gräsklippare
219,Åkgräsklippare
220,Trädgårdsarbete
221,Marie Hogmalm
222,Landsbygdsdialog
223,Hjälmsbodarna
224,Karolina Rellme
225,Internationella Kvinnodagen
226,IM Vrigstadgården
227,Internationella kvinnodagen
228,Celice Bergendahl
229,Ellen Fries
230,Gunnel Hall
231,Kvinnor Kan
232,Studio K Green Room
233,Blomsterbutik
234,Katrin Sjögren
235,Debora van den Berg
236,Olycka
237,Singelolycka
238,Sockerklaras lekpark
239,Henrik Gustavsson
240,Miljöchef
241,Varg
242,Vargspår
243,Vargspår
244,Hultsjö
245,Färgeriet
246,Ödehus
247,Hus
248,Förfallet
249,Kommunhuset
250,Kommunalhuset
251,Kommunlogotype
252,Barn- och utbildningsnämnden
253,Karin Magnusson
254,Julskyltning 2016
255,Lönns
256,Njudung Energi
257,Musikskolan
258,Rockkonsert
259,Bagare
260,Öppet hus
261,Träindustriutbildning
262,Väg 128
263,Skrapstad
264,Hultagårds bygdegårdsförening
265,Cecilia Johansson
266,RoJo:s
267,Helen Madsen
268,Jönköping läns småbrukare
269,Kerstin Carlsson
270,MAS
271,Mannekänguppvisning
272,PRO Sävsjö
273,Valborg
274,Nanne Grönwall
275,Jenny Fransson
276,Magasin 22
277,Cantabile
278,Carina Hult
279,Bill Strachal
280,Anders Axelsson
281,Kjell Wegeborn
282,PRO
283,Matlåda
284,Ris
285,Mat
286,Lunch
287,Gymnasium
288,Sara Adzovic
289,Hanna Vajda
290,Felicia Vajda
291,Coronavirus Covid 19
292,Barn
293,Lek
294,Klossar
295,Skola
296,Olle Svensson
297,Elin Svensson
298,Cykelbana
299,Brandmän
300,Soteld
301,Ringgråden
302,Demensboende
303,Äldreboende
304,Utvecklingschef
305,Kommunalråd
306,Kommunstyrelsens ordförande
307,Simon Ek
308,Sävsjö Digital
309,Corona
310,Sävsjö Zoo
311,Semester
312,Patrick Blomström
313,Näringslivschef
314,Eneliden
315,Rörvik
316,Ingvar Svensson
317,Telefon
318,Möte
319,Mikael Johansson
320,Aronssons
321,Lövshult
322,Sjö
323,Mark
324,Utsikt
325,Vår
326,Arnold Karlsson
327,Earth Hour
328,Kultur- och miljöförskolan
329,Earth hour
330,förskola
331,Natur- och miljöförskolan
332,barn
333,såpbubblor
334,Eld
335,vatten
336,experiment
337,förskolan
338,Koranen
339,Isalm
340,Sävsjö hembygdsförening
341,Årsskrift
342,Expeditionsresor
343,Kilimanjaro
344,Solpaneler
345,Solenergi
346,Fransson&Nordh
347,Richard Nordh
348,Wino Holding
349,Skivkap
350,Husindutri
351,Industriropbott
352,Husindustri
353,Stövlar
354,Fötter
355,Promenad
356,Louise Gunnarsson
357,Norra Ljunga
358,Eva Svensson
359,Stuvbiten
360,Integrationsprojekt
361,Mataffär
362,Tomater
363,Livsmedelsbutik
364,Stopp
365,Stop
366,Hand
367,Förbud
368,Svante Stenervik
369,Vrigstad Värdshus
370,Orwak
371,Väg 30
372,Signum Prefab
373,Robin Lindsten
374,Husfabrik
375,OBOS
376,Sponsring
377,Damallsvenskan
378,Sturevallen
379,Bibel
380,Kors
381,Ingemar Andersson
382,Pastor
383,Frikyrkan Rörvik
384,Franz Hagman
385,Frikyrkan Stockaryd
386,Peo Svensson
387,pastor
388,Guds Kraft
389,Carl Cedermark
390,Svenska kyrkan
391,kyrkoherde
392,Påskägg
393,Sävsjö Handel
394,Melins
395,Hanna Prim
396,Matleverans
397,Petter Eriksson
398,Martin Backstig
399,Marian Thor
400,Göransgården
401,Påskkärringar
402,Eva Nordmark
403,Linda Elaine Byman
404,Hans-Åke Andersson
405,Femtinge Teater
406,Elenor Johansson
407,får
408,lamm
409,bagge
410,Villabrand
411,Erikshjälpen
412,Second hand
413,Erikshjälpen Sävsjö
414,Jukebox
415,Johnny Thorstensson
416,Sopor
417,Soppåsar
418,Avfall
419,Skräpplockarvecka
420,Vrigstad skola
421,Stefan Claesson
422,Skolchef
423,Bengt Sandin
424,Covid-19
425,Digitalt 11-kaffe
426,Madeleine Sjöstrand
427,Emma Westerlind
428,SV
429,Studieförbundet Vuxenskolan
430,Björn Jönsson
431,Lars Helgesson
432,SD
433,Studentavslutning
434,Clara Simonsson
435,Gustav Ekdahl
436,Vrigstadån
437,Edwin Gustafsson
438,Pingstkyrkan Vrigstad
439,Anna Frej
440,Riksidrottsgymnasium Motocross Enduro
441,Johnas Stranne
442,Mats Cedmalm
443,Ripan
444,Cajsa Lundberg
445,Lundbergs
446,Veli-Pekka Säikkälä
447,IF Metall
448,Förskolan Tingeling
449,Förskola
450,Gungbräda
451,Tomtar
452,Tomtenissar
453,Industritekniska programmet
454,Dennis Axelsson
455,Simon Sandén
456,Lärare
457,Susanne Johansson
458,Thomas Nilsson
459,Gert Rosengren
460,Lastbilsbrand
461,Skolskog
462,Runde Blomqvist
463,Ted Wolfram
464,Carina Ödebrink
465,Peter Hultqvist
466,Försvarsminister
467,Ingrid Ivarsson
468,Andreas Hugosson
469,X-rundan
470,Järnvägsräls
471,Räls
472,Spår
473,Rådjur
474,Kulturbud
475,Parken
476,Sävsjö Trädgård
477,Johanna Mattsson
478,Anna Hagström
479,Blomstermorot
480,Covid 19
481,Sporthall
482,Fuktskador
483,Träning
484,Gruppträning
485,Torset
486,Johanna Björk
487,Frisör
488,Moderna Saxar
489,Sävsjö Camping
490,Eva Danielsson
491,Ankrace
492,Sara Jeppsson
493,JLT
494,Buss
495,Regionbuss
496,Länstrafiken
497,VEÅ AB
498,Anders Steen
499,KSRR
500,Steve Sjögren
501,Kretslopp Sydost
502,Blomstertäppan
503,Ida Alm
504,körsbärsblom
505,pion
506,hjärta
507,sommar
508,ljusrosa
509,hortensia
510,Mountainbike
511,Mountianbike
512,Förskolans dag
513,Bygdegården Rörvik
514,Julia Fransson
515,Family House
516,Carina Nilsson
517,Vanja Johansson
518,Happy Homes
519,Ann-Helene Syrén
520,Slättsjöns badplats
521,Vrigstad Samhällsförening
522,Vrigstad samhällsförening
523,Vrigstad Fiskevårdsförening
524,Kommunfullmäktige
525,Malin Johansson
526,Sandra Brunberg Hammastedt
527,Sandra Brundberg Hammarstedt
528,Biologiska mångfaldens dag
529,Insektshotell
530,Johanna Mattssson
531,Marie Gattawi
532,Abir Al-Mourgrabi
533,Caroline Yderman
534,Sandra Brunberg Hammarstedt
535,Frank Steen
536,Heidi Holmberg
537,Vallsjöbaden
538,VAllsjöbaden
539,Almsjuka
540,Alm
541,Alm
542,Järnvägsparken Stockaryd
543,Järnvägsparken Stockaryd
544,Jasmine Cederqvist
545,Sörgårdens förskola
546,Fältassistenter
547,Ninni Stenhoff
548,Maria Johansson
549,Alexander Oriz
550,Farmer Time
551,Hägneskolan
552,Hushållningssällskapet
553,Hushållsningssällskapet
554,Fotogruppen Bländaren
555,Urban Dagman
556,Händer
557,Handtvätt
558,Bengt Tellgren
559,Stefan Gunnarsson
560,Polis
561,Värmeljuskoppar
562,Aluminium
563,Natur- och Miljöförskolan
564,Skog
565,Thomas Lenegård
566,Lulles
567,Linda Björk
568,socialchef
569,Frank Isaksson
570,Fotboll
571,Skateboard
572,Stockaryds kyrka
573,Socialnämnden
574,Vattenläcka
575,VA
576,Provtagning
577,Topsning
578,Lignin
579,Stockarydsterminalen
580,Dan Jönsson
581,Niklas Gustavsson
582,Erik Alm
583,Hillenplatsen
584,Dansbanevägen
585,Eva-Lena Frick
586,Parkenheten
587,Lekplats
588,Stipendium
589,Axel Arvidsson
590,Elias Sjögren
591,Karin Larsson Salander
592,Hofgårdsskolan
593,Sallad
594,Restaurang
595,Stockaryds skola
596,Cecilia Alexiusson
597,Gudrun Färdeman
598,Marita Johansson
599,Gästgivaregården 1:146
600,Industrimark
601,KF
602,Fullmäktige
603,Allaktivitetsplats
604,Tallåsen
605,Allaktivitetsområde Vrigstad
606,Allaktivitetesområde Vrigstad
607,Allaktvitetsområde Vrigstad
608,Klas Frisk Svensson
609,Kyrkoherde
610,Sävsjö Pastorat
611,Surfplatta
612,Ipad
613,händer
614,Surftplatta
615,iPad
616,mobiltelefon
617,surfplatta
618,Äldre man
619,Yxan 1
620,Midsommar
621,midsommar
622,sommarbukett
623,Stadshotellet
624,Susanne Karlberg
625,Marie-Louise Strömqvist
626,Helena Gill
627,Helena Gill
628,Emilorosa
629,Hjälmseryd
630,Hjälmseryd
631,Emilorsa
632,Brygga
633,Himmel
634,Sommar
635,Cykeltrim
636,Karta
637,Khaled Hamooda
638,Nål & tråd
639,Nål och tråd
640,motorsport
641,speedway
642,Martin Trofast
643,Vetlanda räddningstjänst
644,Perennparken
645,Grillkväll
646,Skolstart
647,gymnasium
648,Speedway
649,Vetlanda Speedway
650,Seriestart
651,Bauhausligan
652,Stefan Lidström
653,Paddelcenter
654,sturevallen
655,paddelcenter
656,slottsruin
657,eksjöhovgårds slottsruin
658,polis
659,polisbil
660,natt
661,kväll
662,jan holmqvist
663,jan holmkvist
664,kommunchef
665,kommundirektör
666,sävsjö
667,allaktivitetsplan
668,film
669,Lägerdag
670,UV-scout
671,Scout
672,Läger
673,scoutläger
674,tälja
675,kniv
676,scout
677,Bernth Simonsson
678,lägerdag
679,laga mat
680,mat över öppen eld
681,köttbullar
682,scouter
683,scouting
684,eld
685,vallsjöskolan
686,skola
687,grundskola
688,grönsaker
689,morötter
690,gunga
691,kompisgunga
692,gunga för två
693,sävsjö pastorat
694,församlingshem
695,svenska kyrkan
696,guds kraft
697,kyrka
698,kyrkolokal
699,församling
700,möteslokal
701,fontän
702,parken kronan
703,sensommar
704,sävsjö kristna skola
705,sävsjö kristna skola
706,kristna skolan
707,b-huset
708,ingång som inte används
709,bhuset
710,a-huset
711,a huset
712,b huset
713,modulhuset
714,ahuset
715,matsal och expedition
716,förskoleklass
717,huvudbyggnad
718,skolans entré
719,höglandskyrkan
720,frikyrka
721,kyrkobyggnad
722,efk
723,do it
724,dansgrupp
725,återvinningsstation
726,pappersförpackningar
727,fti
728,papper
729,insamling
730,förpackningar
